date,open,close,high,low,volume
2026-01-21,1.03,1.03,1.03,1.03,0
2026-01-22,1.03,1.03,1.04,1.03,0
2026-01-23,1.03,1.04,1.04,1.03,0
2026-01-26,1.04,1.04,1.04,1.03,0
2026-01-27,1.04,1.04,1.04,1.03,0
2026-01-28,1.04,1.05,1.05,1.04,0
2026-01-29,1.04,1.05,1.05,1.04,0
2026-01-30,1.04,1.03,1.04,1.02,0
2026-02-02,1.03,1.01,1.03,1.01,0
2026-02-03,1.01,1.02,1.02,1.01,0
2026-02-04,1.02,1.03,1.03,1.02,0
2026-02-05,1.03,1.03,1.03,1.02,0
2026-02-06,1.02,1.02,1.03,1.01,0
2026-02-09,1.03,1.04,1.04,1.03,0
2026-02-10,1.04,1.04,1.04,1.04,0
2026-02-11,1.04,1.04,1.04,1.04,0
2026-02-12,1.04,1.04,1.04,1.04,0
2026-02-13,1.04,1.03,1.04,1.03,0
2026-02-24,1.04,1.04,1.04,1.03,0
2026-02-25,1.04,1.04,1.05,1.04,0
2026-02-26,1.04,1.04,1.05,1.04,0
2026-02-27,1.04,1.05,1.05,1.04,0
2026-03-02,1.05,1.06,1.06,1.04,0
2026-03-03,1.06,1.05,1.06,1.04,0
2026-03-04,1.04,1.03,1.04,1.02,0
2026-03-05,1.04,1.04,1.04,1.03,0
2026-03-06,1.03,1.04,1.04,1.03,0
2026-03-09,1.04,1.03,1.04,1.03,0
2026-03-10,1.04,1.04,1.04,1.04,0
2026-03-11,1.04,1.05,1.05,1.04,0
2026-03-12,1.04,1.04,1.05,1.04,0
2026-03-13,1.04,1.04,1.05,1.03,0
2026-03-16,1.03,1.03,1.04,1.02,0
2026-03-17,1.03,1.02,1.04,1.02,0
2026-03-18,1.02,1.03,1.03,1.02,0
2026-03-19,1.02,1.01,1.02,1.01,0
2026-03-20,1.01,1.0,1.01,1.0,0
2026-03-23,0.99,0.96,0.99,0.96,0
2026-03-24,0.97,0.98,0.98,0.96,0
2026-03-25,0.98,0.99,0.99,0.98,0
2026-03-26,0.99,0.98,0.99,0.98,0
2026-03-27,0.97,0.99,0.99,0.97,0
2026-03-30,0.98,0.99,0.99,0.98,0
2026-03-31,0.99,0.98,1.0,0.98,0
2026-04-01,0.99,1.0,1.0,0.99,0
2026-04-02,1.0,0.99,1.0,0.99,0
2026-04-03,0.99,0.98,0.99,0.98,0
2026-04-07,0.98,0.98,0.99,0.98,0
2026-04-08,0.99,1.01,1.01,0.99,0
2026-04-09,1.0,1.0,1.0,1.0,0
2026-04-10,1.0,1.0,1.01,1.0,0
2026-04-13,1.0,1.0,1.0,1.0,0
2026-04-14,1.01,1.01,1.01,1.0,0
2026-04-15,1.02,1.01,1.02,1.01,0
2026-04-16,1.01,1.02,1.02,1.01,0
2026-04-17,1.02,1.02,1.02,1.01,0
2026-04-20,1.02,1.03,1.03,1.02,0
2026-04-21,1.03,1.03,1.03,1.02,0
2026-04-22,1.03,1.04,1.04,1.03,0
2026-04-23,1.04,1.03,1.04,1.03,0
2026-04-24,1.03,1.03,1.03,1.02,0
2026-04-27,1.02,1.03,1.03,1.02,0
2026-04-28,1.03,1.02,1.03,1.02,0
2026-04-29,1.02,1.03,1.03,1.02,0
2026-04-30,1.03,1.03,1.03,1.03,0
2026-05-06,1.04,1.05,1.05,1.04,0
2026-05-07,1.05,1.05,1.05,1.05,0
2026-05-08,1.05,1.05,1.05,1.04,0
2026-05-11,1.05,1.06,1.06,1.05,0
2026-05-12,1.06,1.06,1.06,1.05,0
2026-05-13,1.05,1.07,1.07,1.05,0
2026-05-14,1.07,1.05,1.07,1.05,0
2026-05-15,1.05,1.04,1.05,1.03,0
2026-05-18,1.04,1.04,1.04,1.03,0
2026-05-19,1.04,1.04,1.05,1.03,0
2026-05-20,1.04,1.04,1.04,1.04,0
2026-05-21,1.05,1.03,1.05,1.02,0
2026-05-22,1.03,1.03,1.03,1.02,0
2026-05-25,1.03,1.04,1.04,1.03,0
2026-05-26,1.04,1.04,1.04,1.03,0
2026-05-27,1.04,1.03,1.05,1.03,0
2026-05-28,1.03,1.03,1.04,1.02,0
2026-05-29,1.03,1.02,1.03,1.02,0
2026-06-01,1.02,1.02,1.03,1.02,0
2026-06-02,1.02,1.03,1.03,1.02,0
2026-06-03,1.03,1.03,1.03,1.02,0
2026-06-04,1.02,1.02,1.03,1.02,0
2026-06-05,1.02,1.02,1.03,1.01,0
2026-06-08,1.0,1.0,1.01,0.99,0
2026-06-09,1.0,1.01,1.01,1.0,0
2026-06-10,1.0,1.0,1.01,1.0,0
2026-06-11,1.0,1.0,1.0,1.0,0
2026-06-12,1.01,1.01,1.02,1.01,0
2026-06-15,1.02,1.03,1.03,1.02,0
2026-06-16,1.03,1.03,1.03,1.02,0
2026-06-17,1.03,1.03,1.03,1.02,0
2026-06-18,1.03,1.03,1.03,1.03,0
2026-06-22,1.03,1.05,1.05,1.02,0
2026-06-23,1.04,1.03,1.05,1.02,0
2026-06-24,1.025,1.032,1.032,1.023,0
